from,to
2430936230437379332,6874565481084960763
14241418669859124239,13755650664728074611
14241418669859124239,12103577703731320960
8332189033267393928,15653044645351154548
442997395565739402,6702757750298562091
8296653003210974148,13077562408083327273
17385398044346996449,3457869750144824051
9332428485702590119,7777497601689050345
121121489780900148,12063398839236639504
121121489780900148,16332165829702838661
4297464848132087130,16934717697312448493
14904853060289488591,442997395565739402
14904853060289488591,15049282789553667090
16825725897740591882,17030958453828937513
16825725897740591882,7207588730327784783
6245192077269173357,442997395565739402
2225809295334410079,5859650596411956935
2225809295334410079,17415991737928602947
2225809295334410079,15922500983146603077
16257385265603918786,3967181812416297977
16257385265603918786,12249003416633102946
2224529949372107480,9602513515974427435
2224529949372107480,5669532762662450032
2224529949372107480,11010807501286101426
2224529949372107480,16277957441560388542
2224529949372107480,15451741357846073460
16896090948573984173,11196975851015010486
16896090948573984173,908710056806461683
16896090948573984173,14408202919707118581
11406872168567819183,1185268544209442606
11406872168567819183,4519216346148025962
11406872168567819183,12621351941151851246
3776036594980701440,4105252562835443861
843599377684378114,12423922208751770165
843599377684378114,3741557393025207139
14756479847387752275,5685491389292395663
2868365956276862338,3307935644994042372
2868365956276862338,15190667213842835140
12278842036812153923,1918761021962090937
12278842036812153923,3114272100236440961
12278842036812153923,5239583770955147702
8349140992318719214,6131548441162082305
8349140992318719214,11958697015793491067
16141238186081778342,15048810716273284365
14061966901561612113,11677142716502434921
14061966901561612113,3015104692682626509
14061966901561612113,8319349983337271812
14061966901561612113,8492182483608194940
14061966901561612113,13011693554843533669
13098884108482343980,6018696364111051368
13098884108482343980,18300817841544002096
8962525230268886305,15417608357773532998
8962525230268886305,8118508653980646279
8962525230268886305,3647216975258379343
8962525230268886305,17239307604907381360
8962525230268886305,17564692245329390408
8962525230268886305,11264190143065290682
13028589329911360634,14180969357260997603
4665655927016081188,11565506379296054597
4665655927016081188,10619211784334019857
5794167898991072343,8600472855764589805
16244399186800690255,5369343950286820701
17668456294219557858,1991838809878815936
350468574820832357,16332165829702838661
350468574820832357,9870575321766553876
5677311936093338684,15444432164969901283
5677311936093338684,6121785249363351573
5677311936093338684,8764255408482416223
5677311936093338684,15891614556090943491
5677311936093338684,3935041986883522035
5279489905282966080,16796998730978215759
5279489905282966080,6729526313276580589
5279489905282966080,5583047953070778017
18005709377246644793,14459125109846626223
18005709377246644793,1757605986020682196
18005709377246644793,194802535975343987
18005709377246644793,14857269325212945122
18005709377246644793,7506699985624869063
18005709377246644793,3490165270327471278
14681106676312750316,7196409127162272636
17368512409844475371,552515364093615666
17368512409844475371,8109367176267300654
17368512409844475371,2007681219366809793
17368512409844475371,10502200809961798153
17368512409844475371,11048792230851469736
17368512409844475371,9155326475219199484
17368512409844475371,15538381705375408778
16299447026638269082,14651955173473059059
5748057243008601771,2944789018937869197
5748057243008601771,7390560434462547229
5748057243008601771,8034666986267919989
5748057243008601771,15754566266842188357
5748057243008601771,6305700158985038853
11115557925172893615,3416777727540260600
7805239534097956514,16561047501284825043
10114458720205550481,6541537193985593073
10114458720205550481,16214023621962052513
10114458720205550481,10082271410190398723
8346074197681429712,18009109176853561176
7559863621847474826,5703006527241625831
7559863621847474826,8599681877991327433
9095148483347190389,9035387445077555062
9095148483347190389,17928749455960355096
9095148483347190389,531414605590754180
9095148483347190389,16081837155489088251
10564509690263085115,15451741357846073460
10564509690263085115,6372183843794969495
10264445140033089708,17502910289654753557
15203258759674246350,16105082402835359638
15203258759674246350,950522735102286260
2114120433665374960,9598687928366880501
2114120433665374960,15788228619685847499
2114120433665374960,8449004279353266
2114120433665374960,7536420487806098657
2114120433665374960,14331548979860015278
2114120433665374960,18314253530761196041
6106639392961764056,400543383675358963
6106639392961764056,5685491389292395663
3225965186864054881,3626543258439705395
3225965186864054881,12871123429646114261
11635669597342052584,7828070775895086017
11635669597342052584,9422735129377479264
18176064562906081439,13476025762651898550
18176064562906081439,15802686314546774314
18176064562906081439,4489800516197078627
1574674606462756881,15615753733922146849
1574674606462756881,6874110149203891510
18265828227985250282,14245644966278373218
8321795215591310710,16332165829702838661
8321795215591310710,14723635855071074646
18311218432877200548,14925416547564663615
18311218432877200548,4515877501967453026
10199125467867694632,2736153646393213317
12757485914832439726,1211577822180786957
12757485914832439726,14820381621595740717
1326081611555132661,11217820315699561958
1326081611555132661,17928749455960355096
1326081611555132661,15417123037702668449
1326081611555132661,14737130005402664403
16883586087740256460,4711466512867765446
16883586087740256460,18300817841544002096
16883586087740256460,13588680866026007396
14270461312544782824,868884453060086619
127695025682926524,3762527069871033453
127695025682926524,6951511480201978870
17929081489154959435,14889278529699606634
17929081489154959435,16723236406614259471
9602513515974427435,6131548441162082305
